response,file
 piping and instrumentation diagram (P&ID),./datasets/P&ID-4/train/img51280_640_png.rf.1f0f900e6562d5363ba665bbc24b0806.jpg
 Piping and Instrumentation Diagram (P&ID),./datasets/P&ID-4/train/img71920_2560_png.rf.efc647a35263ad0cf16416cf19ad8fb8.jpg
 piping and instrumentation diagram (P&ID),./datasets/P&ID-4/train/img1920_1920_png.rf.dde8f971698cc9cbfdbd1ae3aafa6cd6.jpg
 Piping and Instrumentation Diagram (P&ID),./datasets/P&ID-4/train/img1280_2560_png.rf.72767640b2f20338a9ddf3b24354560b.jpg
 section of a facility layout drawing,./datasets/P&ID-4/train/img52560_1920_png.rf.7f9348e8b4ddfe512320e8b6c514c5cc.jpg
 process flow diagram (PFD),./datasets/P&ID-4/train/img72560_1920_png.rf.252f3f2d9eafb20ee785c3d6c49c6104.jpg
 Piping and Instrumentation Diagram (P&ID),./datasets/P&ID-4/train/img1280_2560_png.rf.b53f094ed93a8d177fde40ef1f8baeb7.jpg
 piping and instrumentation diagram (P&ID),./datasets/P&ID-4/train/img51280_1920_png.rf.bb82200f0ad75d758f5158922d0f6c69.jpg
 Piping and Instrumentation Diagram (P&ID),./datasets/P&ID-4/train/img71920_1280_png.rf.a7c1e9607132c8e4ab4e44b3043c478f.jpg
 piping and instrumentation diagram (P&ID),./datasets/P&ID-4/train/img51280_2560_png.rf.4d9befd80d944e2206c72ac9dc94bc19.jpg
 single-line diagram,./datasets/S1_D-6/valid/SLD_23_png.rf.0aee589828671b664abac6dd24000848.jpg
 power system single line diagram,./datasets/S1_D-6/valid/SLD_14_png.rf.191b7ef34919b64f94019fde32266b49.jpg
 block diagram,./datasets/S1_D-6/valid/SLD_18_png.rf.8fa5ca315cee5856630362f14f712c74.jpg
 single-line diagram,./datasets/S1_D-6/valid/SLD_07_png.rf.811efc001cdda02237605158702bcfe5.jpg
 single-line diagram,./datasets/S1_D-6/valid/SLD_33_png.rf.50637f2fe65e202c1b9650f3e60b5539.jpg
 data sheet for a differential pressure transmitter,./datasets/datasheets/datasheet1-836x1024.jpg
 datasheet for a pressure transmitter,./datasets/datasheets/pressure-transmitter-datasheet-small.png
 This is an instruction manual,./datasets/manual/haan-hd-50-page13.png
 cause and effect diagram,./datasets/cause&effect/cause-and-effect-drawing.png
